Data Source,Human Capital Index,,,,,,,,,,,,,
Last Updated Date,9/21/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mauritania,MRT,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.353,0.3705914915,,0.3815460801
Mauritius,MUS,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6001388431,,,,,,,0.626,0.6232699156,,0.6218592525
Malawi,MWI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.3638214469,,,,,,,0.407,0.4110617042,,0.4132406414
Malaysia,MYS,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5843450427,,,,,,,0.622,0.632578671,,0.6109761596
Namibia,NAM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.3937097788,,,,,,,0.435,0.4450780749,,0.4464375377
New Caledonia,NCL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Niger,NER,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.316,0.3180294633,,0.3156851828
Nigeria,NGA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.342,0.3547531664,,0.3606098294
Nicaragua,NIC,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.531,0.507381022,,0.5080982447
Netherlands,NLD,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7970991135,,,,,,,0.8,0.8030385971,,0.7899150252
Norway,NOR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7705670595,,,,,,,0.771,0.7685348392,,0.7710511684
Nepal,NPL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.49,0.4981923997,,0.5046017766
Nauru,NRU,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,0.5084121227
New Zealand,NZL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7786912918,,,,,,,0.767,0.7712140083,,0.7759324312
Oman,OMN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5475524664,,,,,,,0.622,0.6111873388,,0.6081162691
Pakistan,PAK,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.389,0.3993035853,,0.4060700238
Panama,PAN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5131819248,,,,,,,0.532,0.5139443874,,0.501601994
Peru,PER,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5453572273,,,,,,,0.586,0.5946152806,,0.6051926613
Philippines,PHL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.548,0.5490155816,,0.5159621239
Palau,PLW,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.5673106313,,0.5881134868
Papua New Guinea,PNG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.384,0.424772054,,0.429185003
Poland,POL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7014409304,,,,,,,0.747,0.7602221966,,0.7530885935
Puerto Rico,PRI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Portugal,PRT,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7426384091,,,,,,,0.776,0.7834401727,,0.7689495683
Paraguay,PRY,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5106006861,,,,,,,0.533,0.5275059938,,0.5281800628
West Bank and Gaza,PSE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.554,0.5717290044,,0.5799966455
French Polynesia,PYF,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Qatar,QAT,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5908073783,,,,,,,0.615,0.6348255277,,0.6377716064
Romania,ROU,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5998824835,,,,,,,0.601,0.5944101214,,0.5841878653
Russian Federation,RUS,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6005485654,,,,,,,0.729,0.7289504409,,0.681419611
Rwanda,RWA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.374,0.3769120276,,0.3795527518
Saudi Arabia,SAU,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5484556556,,,,,,,0.585,0.5807530284,,0.5763905048
Sudan,SDN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.379,0.3760404587,,0.3774451911
Senegal,SEN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.3897669017,,,,,,,0.418,0.4210633337,,0.4201107919
Singapore,SGP,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.8471857309,,,,,,,0.884,0.8870836496,,0.8791257143
Solomon Islands,SLB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.443,0.4308597147,,0.4198726118
Sierra Leone,SLE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.351,0.3532862067,,0.3627021015
El Salvador,SLV,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.501,0.5449857116,,0.5461766124
